id_detalle_venta,id_venta,id_producto,cantidad,precio_unitario_venta,costo_unitario_venta,descuento_linea,impuesto_linea,subtotal_linea,total_linea
162,59,32,2,26.91,17.58,0.00,0.00,53.82,53.82
163,59,9,5,4.31,2.11,0.00,0.00,21.55,21.55
164,59,10,1,13.00,6.42,0.00,0.00,13.00,13.00
165,60,53,3,22.55,12.61,0.00,0.00,67.65,67.65
166,61,36,4,19.84,11.38,0.00,0.00,79.36,79.36
167,62,52,3,31.77,23.52,0.00,0.00,95.31,95.31
168,62,50,3,22.83,13.05,0.00,0.00,68.49,68.49
169,62,4,4,8.49,4.13,0.00,0.00,33.96,33.96
170,63,59,2,4.30,1.97,0.00,0.00,8.60,8.60
171,63,15,2,4.16,1.91,0.00,0.00,8.32,8.32
172,63,29,5,11.07,7.21,0.00,0.00,55.35,55.35
173,64,29,1,11.37,7.21,0.00,0.00,11.37,11.37
174,64,45,2,18.19,11.07,0.00,0.00,36.38,36.38
175,65,30,1,10.27,5.71,0.00,0.00,10.27,10.27
176,66,9,5,4.19,2.11,0.00,0.00,20.95,20.95
177,66,47,5,29.39,15.78,0.00,0.00,146.95,146.95
178,66,30,5,11.31,5.71,0.00,0.00,56.55,56.55
179,67,33,4,10.27,6.80,0.00,0.00,41.08,41.08
180,67,30,3,10.98,5.71,0.00,0.00,32.94,32.94
181,67,44,2,13.18,9.30,0.00,0.00,26.36,26.36
182,68,26,5,5.30,3.42,0.00,0.00,26.50,26.50
183,68,38,1,7.43,4.85,0.00,0.00,7.43,7.43
184,69,16,5,5.59,3.65,0.00,0.00,27.95,27.95
185,69,5,2,5.76,2.76,0.00,0.00,11.52,11.52
186,70,16,1,5.33,3.65,0.00,0.00,5.33,5.33
187,70,54,4,9.64,5.48,0.00,0.00,38.56,38.56
188,70,38,4,7.71,4.85,0.00,0.00,30.84,30.84
189,71,7,2,8.89,4.00,0.00,0.00,17.78,17.78
190,71,21,2,10.74,5.46,0.00,0.00,21.48,21.48
191,72,5,1,6.13,2.76,0.00,0.00,6.13,6.13
192,72,36,5,18.39,11.38,0.00,0.00,91.95,91.95
193,73,4,4,7.74,4.13,0.00,0.00,30.96,30.96
194,73,23,5,12.18,6.91,0.00,0.00,60.90,60.90
195,73,45,2,17.11,11.07,0.00,0.00,34.22,34.22
196,74,22,2,17.17,11.58,0.00,0.00,34.34,34.34
197,74,33,3,10.90,6.80,0.00,0.00,32.70,32.70
198,75,58,4,4.60,2.92,0.00,0.00,18.40,18.40
199,75,52,5,32.78,23.52,0.00,0.00,163.90,163.90
200,76,25,3,5.46,3.77,0.00,0.00,16.38,16.38
201,76,21,3,10.16,5.46,0.00,0.00,30.48,30.48
202,77,54,5,10.59,5.48,0.00,0.00,52.95,52.95
203,77,24,4,29.07,14.40,0.00,0.00,116.28,116.28
204,77,16,5,5.79,3.65,0.00,0.00,28.95,28.95
205,77,7,2,8.90,4.00,0.00,0.00,17.80,17.80
206,77,31,2,4.81,3.03,0.00,0.00,9.62,9.62
207,77,7,2,8.41,4.00,0.00,0.00,16.82,16.82
208,78,13,4,9.54,6.09,0.00,0.00,38.16,38.16
209,79,24,1,29.43,14.40,0.00,0.00,29.43,29.43
210,79,39,1,27.29,16.63,0.00,0.00,27.29,27.29
211,79,12,5,7.17,3.53,0.00,0.00,35.85,35.85
212,79,3,5,13.10,7.05,0.00,0.00,65.50,65.50
213,79,15,3,4.33,1.91,0.00,0.00,12.99,12.99
214,80,8,5,8.53,5.34,0.00,0.00,42.65,42.65
215,80,28,3,4.40,2.78,0.00,0.00,13.20,13.20
216,80,1,5,15.88,8.14,0.00,0.00,79.40,79.40
217,80,30,1,10.88,5.71,0.00,0.00,10.88,10.88
218,80,25,5,5.95,3.77,0.00,0.00,29.75,29.75
219,81,29,3,10.74,7.21,0.00,0.00,32.22,32.22
220,81,25,4,5.91,3.77,0.00,0.00,23.64,23.64
221,81,6,4,6.10,3.45,0.00,0.00,24.40,24.40
222,82,29,3,11.28,7.21,0.00,0.00,33.84,33.84
223,82,42,2,11.01,5.39,0.00,0.00,22.02,22.02
224,83,21,1,10.92,5.46,0.00,0.00,10.92,10.92
225,84,45,4,15.90,11.07,0.00,0.00,63.60,63.60
226,84,51,5,23.84,17.62,0.00,0.00,119.20,119.20
227,85,55,3,5.31,2.53,0.00,0.00,15.93,15.93
228,85,57,1,6.03,4.03,0.00,0.00,6.03,6.03
229,85,43,3,16.02,10.28,0.00,0.00,48.06,48.06
230,86,37,5,8.45,5.38,0.00,0.00,42.25,42.25
231,86,16,5,5.32,3.65,0.00,0.00,26.60,26.60
232,86,53,3,21.58,12.61,0.00,0.00,64.74,64.74
233,86,19,2,34.67,20.01,0.00,0.00,69.34,69.34
234,86,53,3,21.84,12.61,0.00,0.00,65.52,65.52
235,86,36,3,19.10,11.38,0.00,0.00,57.30,57.30
236,86,26,4,5.41,3.42,0.00,0.00,21.64,21.64
237,87,15,3,4.35,1.91,0.00,0.00,13.05,13.05
238,87,24,3,29.34,14.40,0.00,0.00,88.02,88.02
239,87,56,3,13.18,5.85,0.00,0.00,39.54,39.54
240,87,13,2,9.38,6.09,0.00,0.00,18.76,18.76
241,87,31,5,4.69,3.03,0.00,0.00,23.45,23.45
242,88,60,1,3.31,1.51,0.00,0.00,3.31,3.31
243,88,42,4,11.41,5.39,0.00,0.00,45.64,45.64
244,88,40,4,15.51,8.61,0.00,0.00,62.04,62.04
245,88,35,4,21.75,12.45,0.00,0.00,87.00,87.00
246,89,12,3,6.74,3.53,0.00,0.00,20.22,20.22
247,90,44,4,13.32,9.30,0.00,0.00,53.28,53.28
248,90,56,4,11.75,5.85,0.00,0.00,47.00,47.00
249,90,41,1,28.87,17.87,0.00,0.00,28.87,28.87
250,90,56,1,13.09,5.85,0.00,0.00,13.09,13.09
251,90,15,3,4.27,1.91,0.00,0.00,12.81,12.81
252,90,50,5,23.81,13.05,0.00,0.00,119.05,119.05
253,91,47,5,33.04,15.78,0.00,0.00,165.20,165.20
254,92,45,1,17.68,11.07,0.00,0.00,17.68,17.68
255,92,17,2,34.52,19.07,0.00,0.00,69.04,69.04
256,92,25,4,5.82,3.77,0.00,0.00,23.28,23.28
257,92,48,4,41.27,17.58,0.00,0.00,165.08,165.08
258,93,20,1,10.06,7.01,0.00,0.00,10.06,10.06
259,93,45,1,16.63,11.07,0.00,0.00,16.63,16.63
260,93,16,3,5.66,3.65,0.00,0.00,16.98,16.98
261,94,17,1,33.07,19.07,0.00,0.00,33.07,33.07
262,94,59,5,4.59,1.97,0.00,0.00,22.95,22.95
263,95,12,2,6.79,3.53,0.00,0.00,13.58,13.58
264,95,24,4,29.17,14.40,0.00,0.00,116.68,116.68
265,95,14,2,3.58,2.08,0.00,0.00,7.16,7.16
266,96,60,1,3.57,1.51,0.00,0.00,3.57,3.57
267,96,15,2,3.87,1.91,0.00,0.00,7.74,7.74
268,96,38,2,7.91,4.85,0.00,0.00,15.82,15.82
269,96,47,5,29.37,15.78,0.00,0.00,146.85,146.85
270,96,37,1,8.22,5.38,0.00,0.00,8.22,8.22
271,96,55,4,5.64,2.53,0.00,0.00,22.56,22.56
272,97,47,3,30.78,15.78,0.00,0.00,92.34,92.34
273,97,39,2,26.83,16.63,0.00,0.00,53.66,53.66
274,97,19,3,36.66,20.01,0.00,0.00,109.98,109.98
275,98,14,5,3.49,2.08,0.00,0.00,17.45,17.45
276,98,56,1,12.04,5.85,0.00,0.00,12.04,12.04
277,99,57,2,6.15,4.03,0.00,0.00,12.30,12.30
278,100,24,5,29.46,14.40,0.00,0.00,147.30,147.30
279,100,9,3,4.20,2.11,0.00,0.00,12.60,12.60
280,100,31,5,4.90,3.03,0.00,0.00,24.50,24.50
281,100,26,3,5.39,3.42,0.00,0.00,16.17,16.17
282,101,16,1,5.58,3.65,0.00,0.00,5.58,5.58
283,101,44,2,12.55,9.30,0.00,0.00,25.10,25.10
284,102,54,1,10.27,5.48,0.00,0.00,10.27,10.27
285,102,21,5,10.16,5.46,0.00,0.00,50.80,50.80
286,102,32,5,27.63,17.58,0.00,0.00,138.15,138.15
287,102,39,2,25.43,16.63,0.00,0.00,50.86,50.86
288,102,19,4,33.87,20.01,0.00,0.00,135.48,135.48
289,103,13,3,9.74,6.09,0.00,0.00,29.22,29.22
290,103,12,2,6.63,3.53,0.00,0.00,13.26,13.26
291,103,22,5,16.24,11.58,0.00,0.00,81.20,81.20
292,104,21,2,10.70,5.46,0.00,0.00,21.40,21.40
293,104,25,5,5.43,3.77,0.00,0.00,27.15,27.15
294,104,53,2,22.04,12.61,0.00,0.00,44.08,44.08
295,104,29,3,11.77,7.21,0.00,0.00,35.31,35.31
296,105,47,4,30.65,15.78,0.00,0.00,122.60,122.60
297,105,31,5,5.02,3.03,0.00,0.00,25.10,25.10
298,106,10,5,12.73,6.42,0.00,0.00,63.65,63.65
299,106,35,3,20.00,12.45,0.00,0.00,60.00,60.00
300,106,30,5,11.72,5.71,0.00,0.00,58.60,58.60
301,106,25,5,5.66,3.77,0.00,0.00,28.30,28.30
302,107,35,1,19.74,12.45,0.00,0.00,19.74,19.74
303,107,22,2,15.53,11.58,0.00,0.00,31.06,31.06
304,107,33,4,11.10,6.80,0.00,0.00,44.40,44.40
305,108,36,3,20.59,11.38,0.00,0.00,61.77,61.77
306,108,16,2,5.28,3.65,0.00,0.00,10.56,10.56
307,108,40,4,17.10,8.61,0.00,0.00,68.40,68.40
308,109,58,1,4.31,2.92,0.00,0.00,4.31,4.31
309,109,41,1,25.23,17.87,0.00,0.00,25.23,25.23
310,109,24,1,30.55,14.40,0.00,0.00,30.55,30.55
311,109,10,5,12.47,6.42,0.00,0.00,62.35,62.35
312,109,35,2,20.59,12.45,0.00,0.00,41.18,41.18
313,110,16,4,5.51,3.65,0.00,0.00,22.04,22.04
314,110,12,5,6.83,3.53,0.00,0.00,34.15,34.15
315,110,20,3,10.40,7.01,0.00,0.00,31.20,31.20
316,111,26,3,5.25,3.42,0.00,0.00,15.75,15.75
317,111,23,2,11.75,6.91,0.00,0.00,23.50,23.50
318,111,29,2,10.41,7.21,0.00,0.00,20.82,20.82
319,112,44,1,12.89,9.30,0.00,0.00,12.89,12.89
320,112,13,1,9.54,6.09,0.00,0.00,9.54,9.54
321,112,31,5,4.94,3.03,0.00,0.00,24.70,24.70
322,112,42,3,10.81,5.39,0.00,0.00,32.43,32.43
323,113,51,5,25.22,17.62,0.00,0.00,126.10,126.10
324,113,37,5,8.65,5.38,0.00,0.00,43.25,43.25
325,113,55,3,5.61,2.53,0.00,0.00,16.83,16.83
326,113,41,2,28.25,17.87,0.00,0.00,56.50,56.50
327,113,59,4,4.52,1.97,0.00,0.00,18.08,18.08
328,113,21,5,9.82,5.46,0.00,0.00,49.10,49.10
329,113,35,3,19.91,12.45,0.00,0.00,59.73,59.73
330,114,8,2,8.06,5.34,0.00,0.00,16.12,16.12
331,114,19,3,32.57,20.01,0.00,0.00,97.71,97.71
332,114,26,3,5.39,3.42,0.00,0.00,16.17,16.17
333,115,35,1,22.30,12.45,0.00,0.00,22.30,22.30
334,115,44,3,12.64,9.30,0.00,0.00,37.92,37.92
335,116,56,2,13.27,5.85,0.00,0.00,26.54,26.54
336,116,28,5,4.49,2.78,0.00,0.00,22.45,22.45
337,116,28,1,4.64,2.78,0.00,0.00,4.64,4.64
338,116,54,5,10.14,5.48,0.00,0.00,50.70,50.70
339,117,36,1,18.48,11.38,0.00,0.00,18.48,18.48
340,117,10,3,11.70,6.42,0.00,0.00,35.10,35.10
341,118,24,2,29.48,14.40,0.00,0.00,58.96,58.96
342,118,59,1,4.27,1.97,0.00,0.00,4.27,4.27
343,118,53,5,24.12,12.61,0.00,0.00,120.60,120.60
344,119,16,1,5.48,3.65,0.00,0.00,5.48,5.48
345,119,7,4,8.43,4.00,0.00,0.00,33.72,33.72
346,120,47,1,32.98,15.78,0.00,0.00,32.98,32.98
347,120,9,2,4.19,2.11,0.00,0.00,8.38,8.38
348,121,22,1,15.38,11.58,0.00,0.00,15.38,15.38
349,121,55,2,5.86,2.53,0.00,0.00,11.72,11.72
350,121,44,4,13.09,9.30,0.00,0.00,52.36,52.36
351,121,31,1,5.22,3.03,0.00,0.00,5.22,5.22
352,121,7,2,8.35,4.00,0.00,0.00,16.70,16.70
353,122,6,1,5.99,3.45,0.00,0.00,5.99,5.99
354,122,43,4,15.77,10.28,0.00,0.00,63.08,63.08
355,122,13,2,9.64,6.09,0.00,0.00,19.28,19.28
356,122,29,5,10.49,7.21,0.00,0.00,52.45,52.45
357,123,49,1,21.04,10.66,0.00,0.00,21.04,21.04
358,123,58,3,4.40,2.92,0.00,0.00,13.20,13.20
359,124,56,1,12.13,5.85,0.00,0.00,12.13,12.13
360,124,6,5,5.52,3.45,0.00,0.00,27.60,27.60
361,124,31,5,4.96,3.03,0.00,0.00,24.80,24.80
362,125,59,1,4.68,1.97,0.00,0.00,4.68,4.68
363,125,4,1,7.70,4.13,0.00,0.00,7.70,7.70
364,126,43,4,14.47,10.28,0.00,0.00,57.88,57.88
365,126,18,3,18.59,12.26,0.00,0.00,55.77,55.77
366,127,4,2,8.81,4.13,0.00,0.00,17.62,17.62
367,127,32,5,27.44,17.58,0.00,0.00,137.20,137.20
368,127,26,1,5.60,3.42,0.00,0.00,5.60,5.60
369,127,47,3,33.21,15.78,0.00,0.00,99.63,99.63
370,127,53,4,23.46,12.61,0.00,0.00,93.84,93.84
371,128,31,3,5.20,3.03,0.00,0.00,15.60,15.60
372,128,5,2,6.00,2.76,0.00,0.00,12.00,12.00
373,128,24,3,32.07,14.40,0.00,0.00,96.21,96.21
374,128,49,2,19.96,10.66,0.00,0.00,39.92,39.92
375,128,56,3,12.98,5.85,0.00,0.00,38.94,38.94
376,129,12,1,6.33,3.53,0.00,0.00,6.33,6.33
377,129,17,5,34.94,19.07,0.00,0.00,174.70,174.70
378,129,53,2,24.15,12.61,0.00,0.00,48.30,48.30
379,130,3,2,13.36,7.05,0.00,0.00,26.72,26.72
380,130,53,2,21.52,12.61,0.00,0.00,43.04,43.04
381,130,7,2,7.75,4.00,0.00,0.00,15.50,15.50
382,131,44,4,13.77,9.30,0.00,0.00,55.08,55.08
383,131,33,1,9.70,6.80,0.00,0.00,9.70,9.70
384,131,17,3,33.88,19.07,0.00,0.00,101.64,101.64
385,131,6,3,6.23,3.45,0.00,0.00,18.69,18.69
386,131,20,1,10.08,7.01,0.00,0.00,10.08,10.08
387,132,50,4,22.55,13.05,0.00,0.00,90.20,90.20
388,132,50,4,24.06,13.05,0.00,0.00,96.24,96.24
389,132,11,2,3.42,2.23,0.00,0.00,6.84,6.84
390,133,26,4,5.50,3.42,0.00,0.00,22.00,22.00
391,133,26,3,5.10,3.42,0.00,0.00,15.30,15.30
392,133,27,3,12.04,5.35,0.00,0.00,36.12,36.12
393,133,11,3,3.70,2.23,0.00,0.00,11.10,11.10
394,134,8,5,8.27,5.34,0.00,0.00,41.35,41.35
395,134,11,3,3.60,2.23,0.00,0.00,10.80,10.80
396,134,48,4,41.42,17.58,0.00,0.00,165.68,165.68
397,135,51,1,26.37,17.62,0.00,0.00,26.37,26.37
398,135,41,4,28.85,17.87,0.00,0.00,115.40,115.40
399,135,16,3,5.90,3.65,0.00,0.00,17.70,17.70
400,136,18,4,18.79,12.26,0.00,0.00,75.16,75.16
401,136,19,5,36.39,20.01,0.00,0.00,181.95,181.95
402,136,8,2,9.21,5.34,0.00,0.00,18.42,18.42
403,137,48,2,37.20,17.58,0.00,0.00,74.40,74.40
404,137,38,3,8.13,4.85,0.00,0.00,24.39,24.39
405,137,18,1,20.39,12.26,0.00,0.00,20.39,20.39
406,137,49,5,19.29,10.66,0.00,0.00,96.45,96.45
407,137,10,4,11.41,6.42,0.00,0.00,45.64,45.64
408,137,18,3,18.36,12.26,0.00,0.00,55.08,55.08
409,138,55,5,5.32,2.53,0.00,0.00,26.60,26.60
410,138,5,5,6.19,2.76,0.00,0.00,30.95,30.95
411,139,10,2,12.14,6.42,0.00,0.00,24.28,24.28
412,140,11,4,3.23,2.23,0.00,0.00,12.92,12.92
413,140,41,3,26.98,17.87,0.00,0.00,80.94,80.94
414,141,31,2,4.84,3.03,0.00,0.00,9.68,9.68
415,141,27,1,10.95,5.35,0.00,0.00,10.95,10.95
416,142,15,5,3.99,1.91,0.00,0.00,19.95,19.95
417,142,21,4,9.97,5.46,0.00,0.00,39.88,39.88
418,142,49,3,19.19,10.66,0.00,0.00,57.57,57.57
419,143,25,2,5.34,3.77,0.00,0.00,10.68,10.68
420,143,40,2,17.38,8.61,0.00,0.00,34.76,34.76
421,143,32,1,26.77,17.58,0.00,0.00,26.77,26.77
422,144,7,1,7.93,4.00,0.00,0.00,7.93,7.93
423,144,27,4,11.45,5.35,0.00,0.00,45.80,45.80
424,144,58,5,4.75,2.92,0.00,0.00,23.75,23.75
425,144,22,3,17.65,11.58,0.00,0.00,52.95,52.95
426,144,44,3,13.56,9.30,0.00,0.00,40.68,40.68
427,145,35,5,20.32,12.45,0.00,0.00,101.60,101.60
428,145,31,1,4.91,3.03,0.00,0.00,4.91,4.91
429,145,41,5,25.39,17.87,0.00,0.00,126.95,126.95
430,146,37,3,8.34,5.38,0.00,0.00,25.02,25.02
431,146,16,4,5.26,3.65,0.00,0.00,21.04,21.04
432,146,44,3,12.77,9.30,0.00,0.00,38.31,38.31
433,146,30,5,11.45,5.71,0.00,0.00,57.25,57.25
